Mon Oct 31 16:25:19 2022    profiling_saves/first_profile.stat

         904343 function calls (903380 primitive calls) in 328.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000  328.638  328.638 {built-in method builtins.exec}
        1    0.000    0.000  328.638  328.638 <string>:1(<module>)
        1    0.002    0.002  328.638  328.638 /content/src/lib/trainers.py:149(train_model_online)
       69    0.001    0.000  309.716    4.489 /usr/lib/python3.7/threading.py:264(wait)
      371  309.715    0.835  309.715    0.835 {method 'acquire' of '_thread.lock' objects}
        3    0.000    0.000  309.705  103.235 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:676(__next__)
        3    0.000    0.000  309.704  103.235 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:1329(_next_data)
        3    0.000    0.000  309.704  103.235 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:1296(_get_data)
       64    0.001    0.000  309.703    4.839 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:1150(_try_get_data)
       64    0.001    0.000  309.700    4.839 /usr/lib/python3.7/queue.py:153(get)
    554/4    0.002    0.000   12.219    3.055 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:1124(_call_impl)
        2    0.000    0.000    6.512    3.256 /content/src/lib/models.py:144(forward)
        2    0.000    0.000    6.512    3.256 /usr/local/lib/python3.7/dist-packages/torchvision/models/resnet.py:284(forward)
        2    0.000    0.000    6.512    3.256 /usr/local/lib/python3.7/dist-packages/torchvision/models/resnet.py:266(_forward_impl)
       40    0.000    0.000    6.105    0.153 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/conv.py:456(forward)
       40    0.000    0.000    6.104    0.153 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/conv.py:448(_conv_forward)
       40    6.104    0.153    6.104    0.153 {built-in method torch.conv2d}
        2    0.255    0.128    5.707    2.853 /content/src/lib/loss_functions.py:272(forward)
