Mon Oct 31 18:50:26 2022    profiling_saves/second_profile.stat

         125222734 function calls (125180456 primitive calls) in 947.719 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000  947.719  947.719 {built-in method builtins.exec}
        1    0.004    0.004  947.719  947.719 <string>:1(<module>)
        1    0.117    0.117  947.715  947.715 /content/src/lib/trainers.py:149(train_model_online)
        2    0.000    0.000  724.922  362.461 /content/src/lib/train_loggers.py:91(log_process)
 21422215  311.811    0.000  495.784    0.000 /content/src/lib/loss_functions.py:22(distance_function)
        2   10.999    5.499  493.707  246.853 /content/src/lib/train_loggers.py:547(log_process)
        4    0.126    0.031  482.679  120.670 /content/src/lib/metrics.py:294(compute_intercluster_metrics)
38732/332    0.213    0.000  349.153    1.052 /usr/local/lib/python3.7/dist-packages/torch/nn/modules/module.py:1124(_call_impl)
      108   11.225    0.104  337.934    3.129 /content/src/lib/loss_functions.py:272(forward)
        4    0.319    0.080  308.100   77.025 /content/src/lib/metrics.py:377(__compute_pairwise_distances)
        4   17.132    4.283  298.528   74.632 /content/src/lib/loss_functions.py:202(precompute_pairwise_distances)
    21600   18.220    0.001  263.159    0.012 /content/src/lib/loss_functions.py:298(<listcomp>)
        2    0.000    0.000  184.509   92.254 /content/src/lib/train_loggers.py:346(log_process)
        4    0.010    0.002  184.492   46.123 /content/src/lib/metrics.py:122(calculate_mean_loss_function_online)
 21422215  103.463    0.000  103.463    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
        8    0.011    0.001   90.626   11.328 /content/src/lib/metrics.py:179(__get_portion_of_dataset_and_embed)
 21425315   80.539    0.000   80.539    0.000 {method 'sqrt' of 'torch._C._TensorBase' objects}
      225    0.009    0.000   77.840    0.346 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:676(__next__)
     2033   77.789    0.038   77.789    0.038 {method 'acquire' of '_thread.lock' objects}
      225    0.004    0.000   77.693    0.345 /usr/local/lib/python3.7/dist-packages/torch/utils/data/dataloader.py:1329(_next_data)
