Wed Feb  1 17:32:48 2023    src/profiling/third_profile.stat

         65671839 function calls (65629444 primitive calls) in 2632.358 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000 2632.358 2632.358 {built-in method builtins.exec}
        1    0.001    0.001 2632.358 2632.358 <string>:1(<module>)
        1    0.096    0.096 2632.357 2632.357 /content/src/lib/trainers.py:149(train_model_online)
      225    0.012    0.000 2087.320    9.277 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:623(__next__)
      225    0.004    0.000 2087.257    9.277 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:1286(_next_data)
      627    0.007    0.000 2087.239    3.329 /usr/lib/python3.8/threading.py:270(wait)
     4044 2087.238    0.516 2087.238    0.516 {method 'acquire' of '_thread.lock' objects}
      230    0.004    0.000 2087.170    9.075 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:1253(_get_data)
      567    0.008    0.000 2087.162    3.681 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:1107(_try_get_data)
      567    0.010    0.000 2087.144    3.681 /usr/lib/python3.8/queue.py:153(get)
        2    0.000    0.000 1789.328  894.664 /content/src/lib/train_loggers.py:89(log_process)
        2    0.000    0.000  777.774  388.887 /content/src/lib/train_loggers.py:241(log_process)
        4    0.008    0.002  777.759  194.440 /content/src/lib/metrics.py:122(calculate_mean_loss_function_online)
        8    0.011    0.001  686.752   85.844 /content/src/lib/metrics.py:179(__get_portion_of_dataset_and_embed)
        2    0.002    0.001  510.140  255.070 /content/src/lib/train_loggers.py:335(log_process)
        4    4.110    1.028  510.125  127.531 /content/src/lib/metrics.py:214(compute_cluster_sizes_metrics)
        2    6.648    3.324  501.414  250.707 /content/src/lib/train_loggers.py:447(log_process)
        4    0.110    0.028  494.753  123.688 /content/src/lib/metrics.py:300(compute_intercluster_metrics)
      116    0.002    0.000  177.021    1.526 /content/src/lib/loss_functions.py:203(precompute_pairwise_distances)
      116  176.436    1.521  176.760    1.524 /content/src/lib/loss_functions.py:225(<dictcomp>)
38732/332    0.178    0.000   91.584    0.276 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1188(_call_impl)
        4    0.263    0.066   89.565   22.391 /content/src/lib/metrics.py:387(__compute_pairwise_distances)
      108    2.675    0.025   82.630    0.765 /content/src/lib/loss_functions.py:283(forward)
        4    0.084    0.021   80.954   20.238 /content/src/lib/metrics.py:259(compute_intracluster_distances)
       14    0.001    0.000   73.555    5.254 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:1388(_shutdown_workers)
       26    0.000    0.000   73.528    2.828 /usr/lib/python3.8/multiprocessing/process.py:142(join)
       26    0.000    0.000   73.527    2.828 /usr/lib/python3.8/multiprocessing/popen_fork.py:40(wait)
       13    0.000    0.000   73.501    5.654 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:1465(__del__)
       26    0.001    0.000   73.428    2.824 /usr/lib/python3.8/multiprocessing/connection.py:917(wait)
       26    0.000    0.000   73.426    2.824 /usr/lib/python3.8/selectors.py:402(select)
       26   73.425    2.824   73.426    2.824 {method 'poll' of 'select.poll' objects}
       16    0.000    0.000   62.307    3.894 {built-in method numpy.core._multiarray_umath.implement_array_function}
       24   25.454    1.061   62.291    2.595 {built-in method numpy.asanyarray}
        4    4.421    1.105   56.392   14.098 /content/src/lib/metrics.py:352(compute_intercluster_distances)
    43278   54.036    0.001   54.036    0.001 {built-in method torch.tensor}
  4847626   44.871    0.000   44.872    0.000 {built-in method builtins.min}
  9695234    3.858    0.000   36.837    0.000 /usr/local/lib/python3.8/dist-packages/torch/_tensor.py:952(__array__)
        8    0.000    0.000   32.129    4.016 <__array_function__ internals>:2(mean)
        8    0.000    0.000   32.129    4.016 /usr/local/lib/python3.8/dist-packages/numpy/core/fromnumeric.py:3322(mean)
        8    0.000    0.000   32.128    4.016 /usr/local/lib/python3.8/dist-packages/numpy/core/_methods.py:162(_mean)
  9695242   31.800    0.000   31.800    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
        8    0.000    0.000   30.178    3.772 <__array_function__ internals>:2(std)
        8    0.000    0.000   30.178    3.772 /usr/local/lib/python3.8/dist-packages/numpy/core/fromnumeric.py:3449(std)
        8    0.000    0.000   30.178    3.772 /usr/local/lib/python3.8/dist-packages/numpy/core/_methods.py:260(_std)
        8    0.007    0.001   30.177    3.772 /usr/local/lib/python3.8/dist-packages/numpy/core/_methods.py:195(_var)
     2116   24.324    0.011   24.342    0.012 {method 'to' of 'torch._C._TensorBase' objects}
      272    0.001    0.000   22.379    0.082 /usr/local/lib/python3.8/dist-packages/wandb/sdk/wandb_run.py:339(wrapper)
      272    0.002    0.000   22.377    0.082 /usr/local/lib/python3.8/dist-packages/wandb/sdk/wandb_run.py:305(wrapper)
      272    0.001    0.000   22.374    0.082 /usr/local/lib/python3.8/dist-packages/wandb/sdk/wandb_run.py:1509(log)
      272    0.003    0.000   22.374    0.082 /usr/local/lib/python3.8/dist-packages/wandb/sdk/wandb_run.py:1473(_log)
      272    0.004    0.000   22.365    0.082 /usr/local/lib/python3.8/dist-packages/wandb/sdk/wandb_run.py:1351(_partial_history_callback)
      272    0.014    0.000   22.360    0.082 /usr/local/lib/python3.8/dist-packages/wandb/sdk/interface/interface.py:557(publish_partial_history)
      574    0.005    0.000   22.239    0.039 /usr/local/lib/python3.8/dist-packages/wandb/util.py:950(json_dumps_safer_history)
      574    0.004    0.000   22.234    0.039 /usr/lib/python3.8/json/__init__.py:183(dumps)
      574    0.002    0.000   22.229    0.039 /usr/lib/python3.8/json/encoder.py:182(encode)
      574    0.007    0.000   22.227    0.039 /usr/lib/python3.8/json/encoder.py:204(iterencode)
     3227   22.224    0.007   22.224    0.007 {method 'item' of 'torch._C._TensorBase' objects}
       54    0.001    0.000   22.220    0.411 /usr/local/lib/python3.8/dist-packages/wandb/util.py:914(default)
       54    0.001    0.000   22.218    0.411 /usr/local/lib/python3.8/dist-packages/wandb/util.py:706(json_friendly)
  4847617   14.944    0.000   17.449    0.000 /content/src/lib/metrics.py:375(<listcomp>)
     3382   12.037    0.004   12.037    0.004 {built-in method builtins.max}
      224    0.003    0.000    8.948    0.040 /content/src/lib/models.py:144(forward)
      224    0.001    0.000    8.944    0.040 /usr/local/lib/python3.8/dist-packages/torchvision/models/resnet.py:284(forward)
      224    0.013    0.000    8.943    0.040 /usr/local/lib/python3.8/dist-packages/torchvision/models/resnet.py:266(_forward_impl)
        4    8.190    2.047    8.190    2.047 /content/src/lib/metrics.py:398(<dictcomp>)
     4480    0.016    0.000    7.746    0.002 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/conv.py:462(forward)
     4480    0.014    0.000    7.721    0.002 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/conv.py:454(_conv_forward)
     4480    7.707    0.002    7.707    0.002 {built-in method torch.conv2d}
    21600    0.060    0.000    4.290    0.000 /content/src/lib/loss_functions.py:42(forward)
        9    0.000    0.000    4.098    0.455 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:883(to)
    621/9    0.007    0.000    4.098    0.455 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:639(_apply)
     1594    0.001    0.000    4.079    0.003 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:983(convert)
       50    0.001    0.000    4.058    0.081 /usr/local/lib/python3.8/dist-packages/torch/_tensor.py:429(backward)
       50    0.001    0.000    4.057    0.081 /usr/local/lib/python3.8/dist-packages/torch/autograd/__init__.py:103(backward)
       50    4.051    0.081    4.051    0.081 {method 'run_backward' of 'torch._C._EngineBase' objects}
       13    0.000    0.000    3.236    0.249 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:422(__iter__)
       13    0.000    0.000    3.236    0.249 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:376(_get_iterator)
       13    0.008    0.001    3.236    0.249 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:987(__init__)
    43200    2.030    0.000    3.198    0.000 /content/src/lib/loss_functions.py:22(distance_function)
    21600    2.551    0.000    3.140    0.000 /content/src/lib/loss_functions.py:312(<listcomp>)
 16942713    2.505    0.000    2.505    0.000 /content/src/lib/utils.py:38(rearrange_indx)
        4    1.762    0.440    1.762    0.441 /content/src/lib/metrics.py:364(<listcomp>)
      276    0.004    0.000    1.674    0.006 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:1335(_try_put_index)
       13    0.001    0.000    1.648    0.127 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:1074(_reset)
     1055    0.001    0.000    1.644    0.002 {built-in method builtins.next}
      276    0.000    0.000    1.637    0.006 /usr/local/lib/python3.8/dist-packages/torch/utils/data/dataloader.py:617(_next_index)
      298    0.019    0.000    1.637    0.005 /usr/local/lib/python3.8/dist-packages/torch/utils/data/sampler.py:241(__iter__)
        7    0.002    0.000    1.605    0.229 /content/src/lib/sampler.py:63(__iter__)
        7    0.045    0.006    1.603    0.229 /content/src/lib/sampler.py:92(generate_index_sequence)
       26    0.003    0.000    1.496    0.058 /usr/lib/python3.8/multiprocessing/process.py:110(start)
       26    0.001    0.000    1.488    0.057 /usr/lib/python3.8/multiprocessing/context.py:222(_Popen)
       26    0.001    0.000    1.488    0.057 /usr/lib/python3.8/multiprocessing/context.py:274(_Popen)
       26    0.001    0.000    1.486    0.057 /usr/lib/python3.8/multiprocessing/popen_fork.py:15(__init__)
     1152    1.456    0.001    1.462    0.001 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/module.py:1272(__setattr__)
       26    0.011    0.000    1.406    0.054 /usr/lib/python3.8/multiprocessing/popen_fork.py:66(_launch)
       26    1.370    0.053    1.372    0.053 {built-in method posix.fork}
 1568/896    0.013    0.000    1.265    0.001 /usr/local/lib/python3.8/dist-packages/torch/nn/modules/container.py:202(forward)
     1792    0.092    0.000    1.246    0.001 /usr/local/lib/python3.8/dist-packages/torchvision/models/resnet.py:89(forward)
  9745006    1.209    0.000    1.209    0.000 {built-in method torch._C._has_torch_function_unary}
    21600    0.697    0.000    1.032    0.000 /content/src/lib/loss_functions.py:57(loss_from_distances)
